|bowler|venue|final_score_ball|matches
924|DT Christian|Holkar Cricket Stadium|4.78125|1
925|DT Christian|M Chinnaswamy Stadium|4.78125|1
926|DT Christian|MA Chidambaram Stadium, Chepauk|5.3999999999999995|1
927|DT Christian|Maharashtra Cricket Association Stadium|7.03125|1
928|DT Christian|Nehru Stadium|4.78125|1
929|DT Christian|Punjab Cricket Association IS Bindra Stadium, Mohali|15.531249999999998|1
930|DT Christian|Punjab Cricket Association Stadium, Mohali|8.53125|1
931|DT Christian|Rajiv Gandhi International Stadium, Uppal|17.4|2
932|DT Christian|Sawai Mansingh Stadium|6.65625|1
933|DT Christian|Wankhede Stadium|25.15625|2
934|DW Steyn|Barabati Stadium|8.4|1
935|DW Steyn|Brabourne Stadium|12.15|1
936|DW Steyn|Dr DY Patil Sports Academy|9.65625|1
937|DW Steyn|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|9.3375|1
938|DW Steyn|Dubai International Cricket Stadium|27.6875|2
939|DW Steyn|Eden Gardens|32.05625|2
940|DW Steyn|Feroz Shah Kotla|9.3375|1
941|DW Steyn|Himachal Pradesh Cricket Association Stadium|8.4|1
942|DW Steyn|JSCA International Stadium Complex|6.5249999999999995|1
943|DW Steyn|M Chinnaswamy Stadium|7.2749999999999995|1
944|DW Steyn|M.Chinnaswamy Stadium|23.974999999999998|1
945|DW Steyn|MA Chidambaram Stadium, Chepauk|8.86875|1
946|DW Steyn|Nehru Stadium|12.15|1
947|DW Steyn|Newlands|8.4|1
948|DW Steyn|Punjab Cricket Association Stadium, Mohali|8.86875|1
949|DW Steyn|Rajiv Gandhi International Stadium, Uppal|8.79375|1
950|DW Steyn|Sardar Patel Stadium, Motera|10.275|1
951|DW Steyn|Saurashtra Cricket Association Stadium|6.5249999999999995|1
952|DW Steyn|Sawai Mansingh Stadium|7.78125|1
953|DW Steyn|Sharjah Cricket Stadium|6.5249999999999995|1
954|DW Steyn|Sheikh Zayed Stadium|25.5|2
955|DW Steyn|St George's Park|8.4|1
956|DW Steyn|Subrata Roy Sahara Stadium|8.4|1
957|DW Steyn|Vidarbha Cricket Association Stadium, Jamtha|12.15|1
958|DW Steyn|Wankhede Stadium|9.018749999999999|1
959|F du Plessis|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|-0.6749999999999999|1
960|FH Edwards|Kingsmead|8.399249999999999|1
961|FH Edwards|Newlands|6.524249999999999|1
962|FH Edwards|St George's Park|9.336749999999999|1
963|FH Edwards|SuperSport Park|5.586749999999999|1
964|FY Fazal|Eden Gardens|0.0|1
965|FY Fazal|Sawai Mansingh Stadium|1.875|1
966|GB Hogg|Eden Gardens|8.81175|1
967|GB Hogg|Feroz Shah Kotla|7.311749999999999|1
968|GB Hogg|M Chinnaswamy Stadium|8.24925|1
969|GB Hogg|MA Chidambaram Stadium, Chepauk|9.18675|1
970|GB Hogg|Sawai Mansingh Stadium|8.24925|1
971|GB Hogg|Wankhede Stadium|10.12425|1
972|GC Viljoen|Eden Gardens|19.68925|1
973|GC Viljoen|Feroz Shah Kotla|28.439249999999998|1
974|GC Viljoen|M.Chinnaswamy Stadium|19.68925|1
975|GC Viljoen|Punjab Cricket Association IS Bindra Stadium, Mohali|21.87675|1
976|GC Viljoen|Wankhede Stadium|15.31425|1
977|GD McGrath|Dr DY Patil Sports Academy|5.78475|1
978|GD McGrath|Eden Gardens|5.78475|1
979|GD McGrath|Feroz Shah Kotla|8.597249999999999|1
980|GD McGrath|M Chinnaswamy Stadium|9.534749999999999|1
981|GD McGrath|MA Chidambaram Stadium, Chepauk|7.659749999999999|1
982|GD McGrath|Punjab Cricket Association Stadium, Mohali|7.659749999999999|1
983|GD McGrath|Rajiv Gandhi International Stadium, Uppal|5.78475|1
984|GD McGrath|Sawai Mansingh Stadium|7.659749999999999|1
985|GD McGrath|Wankhede Stadium|5.78475|1
986|GH Vihari|Eden Gardens|1.3882499999999998|1
987|GH Vihari|M Chinnaswamy Stadium|1.3882499999999998|1
988|GH Vihari|Punjab Cricket Association IS Bindra Stadium, Mohali|3.2392499999999993|1
989|GH Vihari|Punjab Cricket Association Stadium, Mohali|1.3882499999999998|1
990|GH Vihari|Rajiv Gandhi International Stadium, Uppal|2.3257499999999998|1
991|GJ Maxwell|Barabati Stadium|3.0300000000000002|1
992|GJ Maxwell|Dubai International Cricket Stadium|9.162500000000001|2
993|GJ Maxwell|Eden Gardens|2.5612500000000002|1
994|GJ Maxwell|Feroz Shah Kotla|9.162500000000001|2
995|GJ Maxwell|Himachal Pradesh Cricket Association Stadium|2.0925000000000002|1
996|GJ Maxwell|M Chinnaswamy Stadium|3.9675000000000002|1
997|GJ Maxwell|M.Chinnaswamy Stadium|9.2575|1
998|GJ Maxwell|Maharashtra Cricket Association Stadium|11.350000000000001|2
999|GJ Maxwell|Punjab Cricket Association IS Bindra Stadium, Mohali|3.16125|1
1000|GJ Maxwell|Punjab Cricket Association Stadium, Mohali|2.0925000000000002|1
1001|GJ Maxwell|Rajiv Gandhi International Stadium, Uppal|7.9125000000000005|2
1002|GJ Maxwell|Sardar Patel Stadium, Motera|2.0925000000000002|1
1003|GJ Maxwell|Sharjah Cricket Stadium|8.418750000000001|2
1004|GJ Maxwell|Sheikh Zayed Stadium|2.0925000000000002|1
1005|GJ Maxwell|Subrata Roy Sahara Stadium|2.0925000000000002|1
1006|GJ Maxwell|Wankhede Stadium|7.9125000000000005|2
1007|GR Napier|Buffalo Park|7.949999999999999|1
1008|GS Sandhu|Brabourne Stadium|2.1374999999999997|1
1009|GS Sandhu|Shaheed Veer Narayan Singh International Stadium|4.0125|1
1010|Gagandeep Singh|M Chinnaswamy Stadium|3.5437499999999997|1
1011|Gagandeep Singh|Punjab Cricket Association Stadium, Mohali|5.41875|1
1012|Gagandeep Singh|Rajiv Gandhi International Stadium, Uppal|5.41875|1
1013|Gurkeerat Singh|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|8.43675|1
1014|Gurkeerat Singh|Eden Gardens|6.561749999999999|1
1015|Gurkeerat Singh|Punjab Cricket Association Stadium, Mohali|4.686749999999999|1
1016|Gurkeerat Singh|Rajiv Gandhi International Stadium, Uppal|6.561749999999999|1
1017|Gurkeerat Singh|Saurashtra Cricket Association Stadium|4.686749999999999|1
1018|HF Gurney|Eden Gardens|17.30575|1
1019|HF Gurney|MA Chidambaram Stadium, Chepauk|11.487|1
1020|HF Gurney|Punjab Cricket Association IS Bindra Stadium, Mohali|15.861999999999998|1
1021|HF Gurney|Rajiv Gandhi International Stadium, Uppal|11.487|1
1022|HF Gurney|Sawai Mansingh Stadium|20.237|1
1023|HF Gurney|Wankhede Stadium|11.487|1
1024|HH Pandya|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|3.9375|1
1025|HH Pandya|Eden Gardens|23.75|2
1026|HH Pandya|Feroz Shah Kotla|15.931249999999999|2
1027|HH Pandya|Green Park|3.9375|1
1028|HH Pandya|Holkar Cricket Stadium|17.5|2
1029|HH Pandya|M Chinnaswamy Stadium|4.5562499999999995|1
1030|HH Pandya|M.Chinnaswamy Stadium|15.749999999999998|1
1031|HH Pandya|MA Chidambaram Stadium, Chepauk|15.3125|2
1032|HH Pandya|Maharashtra Cricket Association Stadium|18.4375|2
1033|HH Pandya|Punjab Cricket Association IS Bindra Stadium, Mohali|9.1875|1
1034|HH Pandya|Rajiv Gandhi International Stadium, Uppal|15.3125|2
1035|HH Pandya|Sawai Mansingh Stadium|15.749999999999998|1
1036|HH Pandya|Wankhede Stadium|19.9625|2
1037|HV Patel|Dubai International Cricket Stadium|13.7655|1
1038|HV Patel|Eden Gardens|7.7745|1
1039|HV Patel|Feroz Shah Kotla|29.158749999999998|2
1040|HV Patel|JSCA International Stadium Complex|7.7745|1
1041|HV Patel|M Chinnaswamy Stadium|7.49325|1
1042|HV Patel|M.Chinnaswamy Stadium|18.1405|1
1043|HV Patel|MA Chidambaram Stadium, Chepauk|9.6495|1
1044|HV Patel|Maharashtra Cricket Association Stadium|9.6495|1
1045|HV Patel|Punjab Cricket Association IS Bindra Stadium, Mohali|18.1405|1
1046|HV Patel|Punjab Cricket Association Stadium, Mohali|8.712|1
1047|HV Patel|Rajiv Gandhi International Stadium, Uppal|5.8995|1
1048|HV Patel|Sardar Patel Stadium, Motera|9.6495|1
1049|HV Patel|Sawai Mansingh Stadium|9.6495|1
1050|HV Patel|Sharjah Cricket Stadium|20.328|1
1051|HV Patel|Sheikh Zayed Stadium|13.7655|1
1052|HV Patel|Subrata Roy Sahara Stadium|7.7745|1
1053|HV Patel|Wankhede Stadium|8.24325|1
1054|Harbhajan Singh|Barabati Stadium|9.2625|1
1055|Harbhajan Singh|Brabourne Stadium|7.9312499999999995|1
1056|Harbhajan Singh|Buffalo Park|6.45|1
1057|Harbhajan Singh|Dr DY Patil Sports Academy|8.325|1
1058|Harbhajan Singh|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|28.531249999999996|2
1059|Harbhajan Singh|Dubai International Cricket Stadium|6.76875|1
1060|Harbhajan Singh|Eden Gardens|24.849999999999998|2
1061|Harbhajan Singh|Feroz Shah Kotla|20.25|2
1062|Harbhajan Singh|Green Park|7.387499999999999|1
1063|Harbhajan Singh|Himachal Pradesh Cricket Association Stadium|7.387499999999999|1
1064|Harbhajan Singh|Holkar Cricket Stadium|5.5125|1
1065|Harbhajan Singh|Kingsmead|7.387499999999999|1
1066|Harbhajan Singh|M Chinnaswamy Stadium|7.1625|1
1067|Harbhajan Singh|M.Chinnaswamy Stadium|12.862499999999999|1
1068|Harbhajan Singh|MA Chidambaram Stadium, Chepauk|27.287499999999998|2
1069|Harbhajan Singh|Maharashtra Cricket Association Stadium|22.875|2
1070|Harbhajan Singh|New Wanderers Stadium|5.5125|1
1071|Harbhajan Singh|Newlands|7.387499999999999|1
1072|Harbhajan Singh|Punjab Cricket Association IS Bindra Stadium, Mohali|27.124999999999996|2
1073|Harbhajan Singh|Punjab Cricket Association Stadium, Mohali|7.387499999999999|1
1074|Harbhajan Singh|Rajiv Gandhi International Stadium, Uppal|19.3125|2
1075|Harbhajan Singh|Sardar Patel Stadium, Motera|9.2625|1
1076|Harbhajan Singh|Saurashtra Cricket Association Stadium|7.387499999999999|1
1077|Harbhajan Singh|Sawai Mansingh Stadium|24.624999999999996|2
1078|Harbhajan Singh|Sharjah Cricket Stadium|5.5125|1
1079|Harbhajan Singh|Sheikh Zayed Stadium|5.5125|1
1080|Harbhajan Singh|St George's Park|7.387499999999999|1
1081|Harbhajan Singh|Subrata Roy Sahara Stadium|9.2625|1
1082|Harbhajan Singh|SuperSport Park|8.643749999999999|1
1083|Harbhajan Singh|Wankhede Stadium|20.456249999999997|2
1084|Harmeet Singh|Dr DY Patil Sports Academy|6.3622499999999995|1
1085|Harmeet Singh|Eden Gardens|6.681|1
1086|Harmeet Singh|Feroz Shah Kotla|8.706|1
1087|Harmeet Singh|Kingsmead|5.4247499999999995|1
1088|Harmeet Singh|M Chinnaswamy Stadium|5.4247499999999995|1
1089|Harmeet Singh|MA Chidambaram Stadium, Chepauk|7.2997499999999995|1
1090|Harmeet Singh|New Wanderers Stadium|7.2997499999999995|1
1091|Harmeet Singh|Newlands|7.2997499999999995|1
1092|Harmeet Singh|Punjab Cricket Association Stadium, Mohali|7.2997499999999995|1
1093|Harmeet Singh|Sawai Mansingh Stadium|7.2997499999999995|1
1094|Harmeet Singh|Subrata Roy Sahara Stadium|11.049749999999998|1
1095|Harmeet Singh|SuperSport Park|5.4247499999999995|1
1096|Harmeet Singh|Vidarbha Cricket Association Stadium, Jamtha|9.793499999999998|1
1097|Harpreet Brar|Dubai International Cricket Stadium|0.0|1
1098|Harpreet Brar|Feroz Shah Kotla|0.0|1
1099|Harpreet Brar|Punjab Cricket Association IS Bindra Stadium, Mohali|0.0|1
1100|I Malhotra|Rajiv Gandhi International Stadium, Uppal|-0.6749999999999999|1
1101|I Sharma|Brabourne Stadium|7.461|1
1102|I Sharma|Buffalo Park|6.5235|1
1103|I Sharma|Dr DY Patil Sports Academy|5.586|1
1104|I Sharma|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|17.409|1
1105|I Sharma|Eden Gardens|20.807499999999997|2
1106|I Sharma|Feroz Shah Kotla|22.36375|2
1107|I Sharma|Holkar Cricket Stadium|4.6485|1
1108|I Sharma|Kingsmead|6.5235|1
1109|I Sharma|M Chinnaswamy Stadium|5.586|1
1110|I Sharma|M.Chinnaswamy Stadium|10.8465|1
1111|I Sharma|MA Chidambaram Stadium, Chepauk|5.11725|1
1112|I Sharma|Maharashtra Cricket Association Stadium|4.6485|1
1113|I Sharma|Nehru Stadium|14.0235|1
1114|I Sharma|New Wanderers Stadium|6.5235|1
1115|I Sharma|Newlands|6.5235|1
1116|I Sharma|Punjab Cricket Association IS Bindra Stadium, Mohali|4.6485|1
1117|I Sharma|Punjab Cricket Association Stadium, Mohali|4.6485|1
1118|I Sharma|Rajiv Gandhi International Stadium, Uppal|16.82625|2
1119|I Sharma|Sardar Patel Stadium, Motera|8.3985|1
1120|I Sharma|Saurashtra Cricket Association Stadium|6.5235|1
1121|I Sharma|Sawai Mansingh Stadium|20.807499999999997|2
1122|I Sharma|Shaheed Veer Narayan Singh International Stadium|4.6485|1
1123|I Sharma|Sharjah Cricket Stadium|8.3985|1
1124|I Sharma|Sheikh Zayed Stadium|17.37|2
1125|I Sharma|St George's Park|7.461|1
1126|I Sharma|Subrata Roy Sahara Stadium|6.5235|1
1127|I Sharma|SuperSport Park|4.6485|1
1128|I Sharma|Wankhede Stadium|30.870000000000005|2
1129|IC Pandey|Barabati Stadium|4.66875|1
1130|IC Pandey|Brabourne Stadium|4.66875|1
1131|IC Pandey|Dubai International Cricket Stadium|6.54375|1
1132|IC Pandey|Eden Gardens|6.54375|1
1133|IC Pandey|Feroz Shah Kotla|4.66875|1
1134|IC Pandey|JSCA International Stadium Complex|5.2875|1
1135|IC Pandey|M Chinnaswamy Stadium|5.60625|1
1136|IC Pandey|MA Chidambaram Stadium, Chepauk|6.91875|1
1137|IC Pandey|Punjab Cricket Association Stadium, Mohali|6.54375|1
1138|IC Pandey|Sardar Patel Stadium, Motera|4.66875|1
1139|IC Pandey|Shaheed Veer Narayan Singh International Stadium|8.41875|1
1140|IC Pandey|Sharjah Cricket Stadium|4.66875|1
1141|IC Pandey|Sheikh Zayed Stadium|8.41875|1
1142|IC Pandey|Wankhede Stadium|6.54375|1
1143|IK Pathan|Barabati Stadium|6.59775|1
1144|IK Pathan|Brabourne Stadium|6.59775|1
1145|IK Pathan|De Beers Diamond Oval|6.59775|1
1146|IK Pathan|Dr DY Patil Sports Academy|4.72275|1
1147|IK Pathan|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|4.72275|1
1148|IK Pathan|Dubai International Cricket Stadium|8.47275|1
1149|IK Pathan|Eden Gardens|5.1915|1
1150|IK Pathan|Feroz Shah Kotla|6.03525|1
1151|IK Pathan|Himachal Pradesh Cricket Association Stadium|6.59775|1
1152|IK Pathan|JSCA International Stadium Complex|4.72275|1
1153|IK Pathan|Kingsmead|8.154|1
1154|IK Pathan|M Chinnaswamy Stadium|6.22275|1
1155|IK Pathan|MA Chidambaram Stadium, Chepauk|6.22275|1
1156|IK Pathan|Nehru Stadium|8.47275|1
1157|IK Pathan|New Wanderers Stadium|8.47275|1
1158|IK Pathan|Newlands|6.59775|1
1159|IK Pathan|OUTsurance Oval|10.34775|1
1160|IK Pathan|Punjab Cricket Association IS Bindra Stadium, Mohali|4.72275|1
1161|IK Pathan|Punjab Cricket Association Stadium, Mohali|8.304|1
1162|IK Pathan|Rajiv Gandhi International Stadium, Uppal|5.66025|1
1163|IK Pathan|Sardar Patel Stadium, Motera|8.47275|1
1164|IK Pathan|Saurashtra Cricket Association Stadium|8.47275|1
1165|IK Pathan|Sawai Mansingh Stadium|5.66025|1
1166|IK Pathan|Shaheed Veer Narayan Singh International Stadium|8.47275|1
1167|IK Pathan|Sharjah Cricket Stadium|4.72275|1
1168|IK Pathan|St George's Park|4.72275|1
1169|IK Pathan|Subrata Roy Sahara Stadium|6.59775|1
1170|IK Pathan|SuperSport Park|5.66025|1
1171|IK Pathan|Wankhede Stadium|6.59775|1
1172|IS Sodhi|Eden Gardens|18.788|1
1173|IS Sodhi|Feroz Shah Kotla|29.7255|1
1174|IS Sodhi|Punjab Cricket Association IS Bindra Stadium, Mohali|20.9755|1
1175|IS Sodhi|Sawai Mansingh Stadium|20.9755|1
1176|Imran Tahir|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|32.7325|2
1177|Imran Tahir|Dubai International Cricket Stadium|19.194|1
1178|Imran Tahir|Eden Gardens|47.732499999999995|2
1179|Imran Tahir|Feroz Shah Kotla|34.795|2
1180|Imran Tahir|Holkar Cricket Stadium|11.976|1
1181|Imran Tahir|M Chinnaswamy Stadium|10.101|1
1182|Imran Tahir|M.Chinnaswamy Stadium|25.7565|1
1183|Imran Tahir|MA Chidambaram Stadium, Chepauk|36.12|2
1184|Imran Tahir|Maharashtra Cricket Association Stadium|33.62|2
1185|Imran Tahir|Punjab Cricket Association IS Bindra Stadium, Mohali|23.569|1
1186|Imran Tahir|Punjab Cricket Association Stadium, Mohali|10.101|1
1187|Imran Tahir|Rajiv Gandhi International Stadium, Uppal|38.045|2
1188|Imran Tahir|Sardar Patel Stadium, Motera|11.976|1
1189|Imran Tahir|Saurashtra Cricket Association Stadium|10.101|1
1190|Imran Tahir|Sawai Mansingh Stadium|19.194|1
1191|Imran Tahir|Sharjah Cricket Stadium|19.194|1
1192|Imran Tahir|Sheikh Zayed Stadium|23.569|1
1193|Imran Tahir|Wankhede Stadium|34.926249999999996|2
1194|Iqbal Abdulla|Dr DY Patil Sports Academy|6.617999999999999|1
1195|Iqbal Abdulla|Eden Gardens|7.011749999999999|1
1196|Iqbal Abdulla|Feroz Shah Kotla|8.492999999999999|1
1197|Iqbal Abdulla|Holkar Cricket Stadium|4.742999999999999|1
1198|Iqbal Abdulla|M Chinnaswamy Stadium|6.617999999999999|1
1199|Iqbal Abdulla|M.Chinnaswamy Stadium|8.492999999999999|1
1200|Iqbal Abdulla|MA Chidambaram Stadium, Chepauk|5.117999999999999|1
1201|Iqbal Abdulla|Maharashtra Cricket Association Stadium|4.742999999999999|1
1202|Iqbal Abdulla|Nehru Stadium|4.742999999999999|1
1203|Iqbal Abdulla|Punjab Cricket Association IS Bindra Stadium, Mohali|4.742999999999999|1
1204|Iqbal Abdulla|Punjab Cricket Association Stadium, Mohali|4.742999999999999|1
1205|Iqbal Abdulla|Rajiv Gandhi International Stadium, Uppal|9.430499999999999|1
1206|Iqbal Abdulla|Sardar Patel Stadium, Motera|6.617999999999999|1
1207|Iqbal Abdulla|Saurashtra Cricket Association Stadium|4.742999999999999|1
1208|Iqbal Abdulla|Sawai Mansingh Stadium|4.742999999999999|1
1209|Iqbal Abdulla|Shaheed Veer Narayan Singh International Stadium|4.742999999999999|1
1210|Iqbal Abdulla|Sheikh Zayed Stadium|4.742999999999999|1
1211|Iqbal Abdulla|Subrata Roy Sahara Stadium|7.236749999999999|1
1212|Iqbal Abdulla|Wankhede Stadium|7.086749999999999|1
1213|J Botha|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|4.5855|1
1214|J Botha|Eden Gardens|5.7105|1
1215|J Botha|Feroz Shah Kotla|5.84175|1
1216|J Botha|Kingsmead|8.3355|1
1217|J Botha|M Chinnaswamy Stadium|6.4605|1
1218|J Botha|MA Chidambaram Stadium, Chepauk|5.523|1
1219|J Botha|OUTsurance Oval|6.4605|1
1220|J Botha|Punjab Cricket Association Stadium, Mohali|8.3355|1
1221|J Botha|Rajiv Gandhi International Stadium, Uppal|6.4605|1
1222|J Botha|Sawai Mansingh Stadium|5.99175|1
1223|J Botha|Subrata Roy Sahara Stadium|6.4605|1
1224|J Botha|Wankhede Stadium|4.5855|1
1225|J Suchith|Eden Gardens|4.821749999999999|1
1226|J Suchith|MA Chidambaram Stadium, Chepauk|26.697499999999994|2
1227|J Suchith|Punjab Cricket Association Stadium, Mohali|6.696749999999999|1
1228|J Suchith|Rajiv Gandhi International Stadium, Uppal|8.57175|1
1229|J Suchith|Sardar Patel Stadium, Motera|4.821749999999999|1
1230|J Suchith|Wankhede Stadium|6.227999999999999|1
1231|J Syed Mohammad|Eden Gardens|5.9655|1
1232|J Syed Mohammad|Feroz Shah Kotla|4.0905|1
1233|J Syed Mohammad|M Chinnaswamy Stadium|5.346749999999999|1
1234|J Syed Mohammad|MA Chidambaram Stadium, Chepauk|7.221749999999999|1
1235|J Syed Mohammad|Wankhede Stadium|5.9655|1
1236|J Theron|Eden Gardens|6.9375|1
1237|J Theron|Feroz Shah Kotla|6.9375|1
1238|J Theron|Himachal Pradesh Cricket Association Stadium|6.9375|1
1239|J Theron|MA Chidambaram Stadium, Chepauk|10.6875|1
1240|J Theron|Punjab Cricket Association Stadium, Mohali|5.0625|1
1241|J Theron|Rajiv Gandhi International Stadium, Uppal|6.9375|1
1242|J Theron|Sawai Mansingh Stadium|5.0625|1
1243|J Theron|Subrata Roy Sahara Stadium|8.8125|1
1244|J Theron|Wankhede Stadium|6.9375|1
1245|J Yadav|Dubai International Cricket Stadium|8.707999999999998|1
1246|J Yadav|Feroz Shah Kotla|9.93375|2
1247|J Yadav|M Chinnaswamy Stadium|2.7944999999999998|1
1248|J Yadav|MA Chidambaram Stadium, Chepauk|10.895499999999998|1
1249|J Yadav|Rajiv Gandhi International Stadium, Uppal|3.7319999999999998|1
1250|J Yadav|Shaheed Veer Narayan Singh International Stadium|3.7319999999999998|1
1251|JA Morkel|Brabourne Stadium|5.609249999999999|1
1252|JA Morkel|Buffalo Park|9.35925|1
1253|JA Morkel|De Beers Diamond Oval|7.484249999999999|1
1254|JA Morkel|Dr DY Patil Sports Academy|9.978|1
1255|JA Morkel|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.609249999999999|1
1256|JA Morkel|Dubai International Cricket Stadium|6.546749999999999|1
1257|JA Morkel|Eden Gardens|6.865499999999999|1
1258|JA Morkel|Feroz Shah Kotla|7.109249999999999|1
1259|JA Morkel|Himachal Pradesh Cricket Association Stadium|7.484249999999999|1
1260|JA Morkel|Kingsmead|7.484249999999999|1
1261|JA Morkel|M Chinnaswamy Stadium|7.484249999999999|1
1262|JA Morkel|MA Chidambaram Stadium, Chepauk|8.121749999999999|1
1263|JA Morkel|Maharashtra Cricket Association Stadium|8.42175|1
1264|JA Morkel|Nehru Stadium|5.609249999999999|1
1265|JA Morkel|New Wanderers Stadium|7.484249999999999|1
1266|JA Morkel|Punjab Cricket Association Stadium, Mohali|7.484249999999999|1
1267|JA Morkel|Rajiv Gandhi International Stadium, Uppal|11.23425|1
1268|JA Morkel|Sardar Patel Stadium, Motera|9.35925|1
1269|JA Morkel|Sawai Mansingh Stadium|6.227999999999999|1
1270|JA Morkel|Shaheed Veer Narayan Singh International Stadium|7.484249999999999|1
1271|JA Morkel|Sharjah Cricket Stadium|7.484249999999999|1
1272|JA Morkel|St George's Park|9.35925|1
1273|JA Morkel|Subrata Roy Sahara Stadium|6.546749999999999|1
1274|JA Morkel|SuperSport Park|7.484249999999999|1
1275|JA Morkel|Wankhede Stadium|6.734249999999999|1
1276|JC Archer|Dubai International Cricket Stadium|23.415|1
1277|JC Archer|Eden Gardens|21.2275|1
1278|JC Archer|Feroz Shah Kotla|21.2275|1
1279|JC Archer|Holkar Cricket Stadium|21.2275|1
1280|JC Archer|MA Chidambaram Stadium, Chepauk|25.6025|1
1281|JC Archer|Punjab Cricket Association IS Bindra Stadium, Mohali|29.9775|1
1282|JC Archer|Rajiv Gandhi International Stadium, Uppal|16.8525|1
1283|JC Archer|Sawai Mansingh Stadium|21.62125|1
1284|JC Archer|Sharjah Cricket Stadium|22.67125|1
1285|JC Archer|Sheikh Zayed Stadium|22.9775|1
1286|JC Archer|Wankhede Stadium|27.79|1
1287|JD Ryder|Dr DY Patil Sports Academy|4.85625|1
1288|JD Ryder|Feroz Shah Kotla|2.9812499999999997|1
1289|JD Ryder|Kingsmead|3.9187499999999997|1
1290|JD Ryder|M Chinnaswamy Stadium|2.9812499999999997|1
1291|JD Ryder|Newlands|6.73125|1
1292|JD Ryder|Punjab Cricket Association Stadium, Mohali|2.9812499999999997|1
1293|JD Ryder|Sawai Mansingh Stadium|2.9812499999999997|1
1294|JD Ryder|Subrata Roy Sahara Stadium|4.85625|1
1295|JD Ryder|SuperSport Park|2.9812499999999997|1
1296|JD Ryder|Wankhede Stadium|2.9812499999999997|1
1297|JD Unadkat|Dubai International Cricket Stadium|27.166249999999994|2
1298|JD Unadkat|Eden Gardens|24.07875|2
1299|JD Unadkat|Feroz Shah Kotla|36.303749999999994|2
1300|JD Unadkat|Holkar Cricket Stadium|14.531999999999998|1
1301|JD Unadkat|JSCA International Stadium Complex|6.227999999999999|1
1302|JD Unadkat|M Chinnaswamy Stadium|7.915499999999999|1
1303|JD Unadkat|M.Chinnaswamy Stadium|16.719499999999996|1
1304|JD Unadkat|MA Chidambaram Stadium, Chepauk|18.906999999999996|1
1305|JD Unadkat|Maharashtra Cricket Association Stadium|24.134999999999998|2
1306|JD Unadkat|Nehru Stadium|9.978|1
1307|JD Unadkat|Punjab Cricket Association IS Bindra Stadium, Mohali|18.906999999999996|1
1308|JD Unadkat|Punjab Cricket Association Stadium, Mohali|8.103|1
1309|JD Unadkat|Rajiv Gandhi International Stadium, Uppal|30.759999999999998|2
1310|JD Unadkat|Sawai Mansingh Stadium|25.134999999999994|2
1311|JD Unadkat|Sharjah Cricket Stadium|26.384999999999998|2
1312|JD Unadkat|Sheikh Zayed Stadium|26.384999999999998|2
1313|JD Unadkat|Wankhede Stadium|27.384999999999998|2
1314|JDP Oram|De Beers Diamond Oval|3.61575|1
1315|JDP Oram|Holkar Cricket Stadium|5.49075|1
1316|JDP Oram|Kingsmead|5.49075|1
1317|JDP Oram|M Chinnaswamy Stadium|5.49075|1
1318|JDP Oram|MA Chidambaram Stadium, Chepauk|7.36575|1
1319|JDP Oram|New Wanderers Stadium|3.61575|1
1320|JDP Oram|Newlands|7.36575|1
1321|JDP Oram|Punjab Cricket Association Stadium, Mohali|3.61575|1
1322|JDP Oram|Rajiv Gandhi International Stadium, Uppal|3.61575|1
1323|JDP Oram|SuperSport Park|7.36575|1
1324|JDS Neesham|Dubai International Cricket Stadium|4.625|2
1325|JDS Neesham|Punjab Cricket Association Stadium, Mohali|0.73125|1
1326|JDS Neesham|Sharjah Cricket Stadium|6.8125|2
1327|JDS Neesham|Sheikh Zayed Stadium|4.3125|2
1328|JE Taylor|Dr DY Patil Sports Academy|8.625|1
1329|JE Taylor|M Chinnaswamy Stadium|8.625|1
1330|JE Taylor|MA Chidambaram Stadium, Chepauk|12.375|1
1331|JE Taylor|Sawai Mansingh Stadium|6.75|1
1332|JEC Franklin|Eden Gardens|7.125|1
1333|JEC Franklin|Feroz Shah Kotla|3.375|1
1334|JEC Franklin|M Chinnaswamy Stadium|4.3125|1
1335|JEC Franklin|MA Chidambaram Stadium, Chepauk|5.25|1
1336|JEC Franklin|Punjab Cricket Association Stadium, Mohali|5.25|1
1337|JEC Franklin|Sawai Mansingh Stadium|3.375|1
1338|JEC Franklin|Subrata Roy Sahara Stadium|3.375|1
1339|JEC Franklin|Wankhede Stadium|4.44375|1
1340|JH Kallis|Barabati Stadium|4.1985|1
1341|JH Kallis|Brabourne Stadium|6.0735|1
1342|JH Kallis|Dr DY Patil Sports Academy|5.45475|1
1343|JH Kallis|Dubai International Cricket Stadium|6.0735|1
1344|JH Kallis|Eden Gardens|5.811|1
