Player|venue|career_dream11_score
DR Smith|Barabati Stadium|17.86
DR Smith|Buffalo Park|19.36
DR Smith|De Beers Diamond Oval|19.21
DR Smith|Eden Gardens|19.17
DR Smith|Feroz Shah Kotla|19.14
DR Smith|Green Park|21.29
DR Smith|Kingsmead|17.51
DR Smith|M Chinnaswamy Stadium|19.27
DR Smith|Maharashtra Cricket Association Stadium|18.05
DR Smith|Rajiv Gandhi International Stadium, Uppal|17.51
DR Smith|Saurashtra Cricket Association Stadium|17.86
DR Smith|Sawai Mansingh Stadium|19.25
DR Smith|Sharjah Cricket Stadium|22.51
DR Smith|Sheikh Zayed Stadium|21.12
DR Smith|St George's Park|16.21
DR Smith|SuperSport Park|18.09
DR Smith|Vidarbha Cricket Association Stadium, Jamtha|17.26
DR Smith|Wankhede Stadium|19.03
DR Smith|Brabourne Stadium|14.27
DR Smith|Dr DY Patil Sports Academy|12.84
DR Smith|Dubai International Cricket Stadium|15.43
DR Smith|JSCA International Stadium Complex|14.46
DR Smith|MA Chidambaram Stadium, Chepauk|13.86
DR Smith|Punjab Cricket Association IS Bindra Stadium, Mohali|18.02
DR Smith|Sardar Patel Stadium, Motera|15.47
DR Smith|Shaheed Veer Narayan Singh International Stadium|13.82
DR Smith|Subrata Roy Sahara Stadium|12.47
DS Kulkarni|Brabourne Stadium|10.4
DS Kulkarni|Buffalo Park|8.53
DS Kulkarni|Dr DY Patil Sports Academy|10.25
DS Kulkarni|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.65
DS Kulkarni|Dubai International Cricket Stadium|10.55
DS Kulkarni|Eden Gardens|8.52
DS Kulkarni|Feroz Shah Kotla|27.7
DS Kulkarni|Green Park|11.04
DS Kulkarni|Himachal Pradesh Cricket Association Stadium|7.9
DS Kulkarni|Kingsmead|8.53
DS Kulkarni|M Chinnaswamy Stadium|12.38
DS Kulkarni|M.Chinnaswamy Stadium|15.42
DS Kulkarni|MA Chidambaram Stadium, Chepauk|27.3
DS Kulkarni|Maharashtra Cricket Association Stadium|10.55
DS Kulkarni|Punjab Cricket Association IS Bindra Stadium, Mohali|27.3
DS Kulkarni|Punjab Cricket Association Stadium, Mohali|11.41
DS Kulkarni|Rajiv Gandhi International Stadium, Uppal|25.35
DS Kulkarni|Sardar Patel Stadium, Motera|9.5
DS Kulkarni|Saurashtra Cricket Association Stadium|9.84
DS Kulkarni|Sawai Mansingh Stadium|28.96
DS Kulkarni|Sharjah Cricket Stadium|24.73
DS Kulkarni|Sheikh Zayed Stadium|11.65
DS Kulkarni|St George's Park|9.78
DS Kulkarni|SuperSport Park|10.85
DS Kulkarni|Wankhede Stadium|29.74
DT Christian|Dr DY Patil Sports Academy|17.44
DT Christian|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|16.99
DT Christian|Eden Gardens|15.79
DT Christian|Feroz Shah Kotla|41.18
DT Christian|Himachal Pradesh Cricket Association Stadium|12.93
DT Christian|Holkar Cricket Stadium|13.92
DT Christian|M Chinnaswamy Stadium|12.83
DT Christian|MA Chidambaram Stadium, Chepauk|14.01
DT Christian|Maharashtra Cricket Association Stadium|16.13
DT Christian|Nehru Stadium|13.32
DT Christian|Punjab Cricket Association IS Bindra Stadium, Mohali|30.28
DT Christian|Punjab Cricket Association Stadium, Mohali|18.19
DT Christian|Rajiv Gandhi International Stadium, Uppal|35.59
DT Christian|Sawai Mansingh Stadium|16.69
DT Christian|Wankhede Stadium|33.79
DW Steyn|Barabati Stadium|12.47
DW Steyn|Brabourne Stadium|14.58
DW Steyn|Dr DY Patil Sports Academy|13.58
DW Steyn|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|13.15
DW Steyn|Dubai International Cricket Stadium|32.9
DW Steyn|Eden Gardens|36.13
DW Steyn|Feroz Shah Kotla|13.26
DW Steyn|Himachal Pradesh Cricket Association Stadium|10.83
DW Steyn|JSCA International Stadium Complex|8.96
DW Steyn|M Chinnaswamy Stadium|11.01
DW Steyn|M.Chinnaswamy Stadium|26.4
DW Steyn|MA Chidambaram Stadium, Chepauk|11.3
DW Steyn|Nehru Stadium|14.58
DW Steyn|Newlands|10.83
DW Steyn|Punjab Cricket Association Stadium, Mohali|12.49
DW Steyn|Rajiv Gandhi International Stadium, Uppal|12.84
DW Steyn|Sardar Patel Stadium, Motera|14.5
DW Steyn|Saurashtra Cricket Association Stadium|10.15
DW Steyn|Sawai Mansingh Stadium|12.68
DW Steyn|Sharjah Cricket Stadium|10.97
DW Steyn|Sheikh Zayed Stadium|27.93
DW Steyn|St George's Park|11.95
DW Steyn|Subrata Roy Sahara Stadium|12.25
DW Steyn|Vidarbha Cricket Association Stadium, Jamtha|15.7
DW Steyn|Wankhede Stadium|12.68
F du Plessis|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|43.3
F du Plessis|Barabati Stadium|17.45
F du Plessis|Brabourne Stadium|16.18
F du Plessis|Dubai International Cricket Stadium|38.7
F du Plessis|Eden Gardens|37.83
F du Plessis|Feroz Shah Kotla|14.68
F du Plessis|JSCA International Stadium Complex|15.5
F du Plessis|M Chinnaswamy Stadium|16.82
F du Plessis|M.Chinnaswamy Stadium|25.14
F du Plessis|MA Chidambaram Stadium, Chepauk|39.86
F du Plessis|Maharashtra Cricket Association Stadium|36.76
F du Plessis|Punjab Cricket Association IS Bindra Stadium, Mohali|54.12
F du Plessis|Punjab Cricket Association Stadium, Mohali|17.68
F du Plessis|Rajiv Gandhi International Stadium, Uppal|39.44
F du Plessis|Sardar Patel Stadium, Motera|13.63
F du Plessis|Saurashtra Cricket Association Stadium|18.73
F du Plessis|Sawai Mansingh Stadium|25.49
F du Plessis|Shaheed Veer Narayan Singh International Stadium|15.73
F du Plessis|Sharjah Cricket Stadium|39.94
F du Plessis|Sheikh Zayed Stadium|39.91
F du Plessis|Subrata Roy Sahara Stadium|16.78
F du Plessis|Wankhede Stadium|40.66
FH Edwards|Kingsmead|8.25
FH Edwards|Newlands|6.52
FH Edwards|St George's Park|9.34
FH Edwards|SuperSport Park|5.59
FY Fazal|Eden Gardens|9.48
FY Fazal|Sawai Mansingh Stadium|11.51
FY Fazal|Feroz Shah Kotla|8.88
FY Fazal|Holkar Cricket Stadium|10.08
FY Fazal|MA Chidambaram Stadium, Chepauk|9.18
FY Fazal|Punjab Cricket Association Stadium, Mohali|12.26
FY Fazal|Sardar Patel Stadium, Motera|10.28
FY Fazal|Vidarbha Cricket Association Stadium, Jamtha|11.58
GB Hogg|Eden Gardens|11.76
GB Hogg|Feroz Shah Kotla|9.02
GB Hogg|M Chinnaswamy Stadium|9.96
GB Hogg|MA Chidambaram Stadium, Chepauk|11.91
GB Hogg|Sawai Mansingh Stadium|11.8
GB Hogg|Wankhede Stadium|12.85
GC Viljoen|Eden Gardens|19.69
GC Viljoen|Feroz Shah Kotla|27.39
GC Viljoen|M.Chinnaswamy Stadium|18.29
GC Viljoen|Punjab Cricket Association IS Bindra Stadium, Mohali|20.65
GC Viljoen|Wankhede Stadium|15.31
GD McGrath|Dr DY Patil Sports Academy|6.47
GD McGrath|Eden Gardens|6.92
GD McGrath|Feroz Shah Kotla|9.74
GD McGrath|M Chinnaswamy Stadium|10.67
GD McGrath|MA Chidambaram Stadium, Chepauk|8.8
GD McGrath|Punjab Cricket Association Stadium, Mohali|8.8
GD McGrath|Rajiv Gandhi International Stadium, Uppal|6.92
GD McGrath|Sawai Mansingh Stadium|8.8
GD McGrath|Wankhede Stadium|6.77
GH Vihari|Eden Gardens|6.34
GH Vihari|M Chinnaswamy Stadium|6.38
GH Vihari|Punjab Cricket Association IS Bindra Stadium, Mohali|11.42
GH Vihari|Punjab Cricket Association Stadium, Mohali|6.6
GH Vihari|Rajiv Gandhi International Stadium, Uppal|8.46
GH Vihari|Feroz Shah Kotla|11.22
GH Vihari|MA Chidambaram Stadium, Chepauk|4.84
GH Vihari|Sawai Mansingh Stadium|4.99
GH Vihari|Subrata Roy Sahara Stadium|4.76
GH Vihari|Wankhede Stadium|6.83
GJ Maxwell|Barabati Stadium|17.3
GJ Maxwell|Dubai International Cricket Stadium|37.74
GJ Maxwell|Eden Gardens|39.39
GJ Maxwell|Feroz Shah Kotla|38.28
GJ Maxwell|Himachal Pradesh Cricket Association Stadium|12.46
GJ Maxwell|M Chinnaswamy Stadium|14.86
GJ Maxwell|M.Chinnaswamy Stadium|29.5
GJ Maxwell|Maharashtra Cricket Association Stadium|39.86
GJ Maxwell|Punjab Cricket Association IS Bindra Stadium, Mohali|15.16
GJ Maxwell|Punjab Cricket Association Stadium, Mohali|12.91
GJ Maxwell|Rajiv Gandhi International Stadium, Uppal|35.91
GJ Maxwell|Sardar Patel Stadium, Motera|12.53
GJ Maxwell|Sharjah Cricket Stadium|44.02
GJ Maxwell|Sheikh Zayed Stadium|34.22
GJ Maxwell|Subrata Roy Sahara Stadium|13.43
GJ Maxwell|Wankhede Stadium|38.63
GJ Maxwell|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|10.36
GJ Maxwell|Holkar Cricket Stadium|13.54
GJ Maxwell|Saurashtra Cricket Association Stadium|11.53
GJ Maxwell|Sawai Mansingh Stadium|22.52
GR Napier|Buffalo Park|12.0
GS Sandhu|Brabourne Stadium|2.14
GS Sandhu|Shaheed Veer Narayan Singh International Stadium|4.01
Gagandeep Singh|M Chinnaswamy Stadium|3.54
Gagandeep Singh|Punjab Cricket Association Stadium, Mohali|5.42
Gagandeep Singh|Rajiv Gandhi International Stadium, Uppal|5.42
Gurkeerat Singh|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|19.22
Gurkeerat Singh|Eden Gardens|16.28
Gurkeerat Singh|Punjab Cricket Association Stadium, Mohali|14.61
Gurkeerat Singh|Rajiv Gandhi International Stadium, Uppal|15.95
Gurkeerat Singh|Saurashtra Cricket Association Stadium|13.33
Gurkeerat Singh|Dubai International Cricket Stadium|16.35
Gurkeerat Singh|Feroz Shah Kotla|24.24
Gurkeerat Singh|Himachal Pradesh Cricket Association Stadium|9.62
Gurkeerat Singh|M Chinnaswamy Stadium|9.99
Gurkeerat Singh|M.Chinnaswamy Stadium|20.72
Gurkeerat Singh|MA Chidambaram Stadium, Chepauk|8.64
Gurkeerat Singh|Maharashtra Cricket Association Stadium|9.47
Gurkeerat Singh|Punjab Cricket Association IS Bindra Stadium, Mohali|10.67
Gurkeerat Singh|Sawai Mansingh Stadium|9.39
Gurkeerat Singh|Sharjah Cricket Stadium|17.13
Gurkeerat Singh|Sheikh Zayed Stadium|17.57
Gurkeerat Singh|Wankhede Stadium|8.79
HF Gurney|Eden Gardens|17.31
HF Gurney|MA Chidambaram Stadium, Chepauk|10.61
HF Gurney|Punjab Cricket Association IS Bindra Stadium, Mohali|15.86
HF Gurney|Rajiv Gandhi International Stadium, Uppal|11.49
HF Gurney|Sawai Mansingh Stadium|20.24
HF Gurney|Wankhede Stadium|11.49
HH Pandya|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|16.45
HH Pandya|Eden Gardens|59.43
HH Pandya|Feroz Shah Kotla|47.68
HH Pandya|Green Park|16.45
HH Pandya|Holkar Cricket Stadium|48.46
HH Pandya|M Chinnaswamy Stadium|17.48
HH Pandya|M.Chinnaswamy Stadium|42.81
HH Pandya|MA Chidambaram Stadium, Chepauk|45.84
HH Pandya|Maharashtra Cricket Association Stadium|49.14
HH Pandya|Punjab Cricket Association IS Bindra Stadium, Mohali|40.72
HH Pandya|Rajiv Gandhi International Stadium, Uppal|44.42
HH Pandya|Sawai Mansingh Stadium|38.0
HH Pandya|Wankhede Stadium|50.25
HH Pandya|Dubai International Cricket Stadium|22.64
HH Pandya|Saurashtra Cricket Association Stadium|12.28
HH Pandya|Sharjah Cricket Stadium|24.78
HH Pandya|Sheikh Zayed Stadium|24.04
HV Patel|Dubai International Cricket Stadium|22.83
HV Patel|Eden Gardens|13.29
HV Patel|Feroz Shah Kotla|42.6
HV Patel|JSCA International Stadium Complex|12.77
HV Patel|M Chinnaswamy Stadium|12.6
HV Patel|M.Chinnaswamy Stadium|20.47
HV Patel|MA Chidambaram Stadium, Chepauk|14.49
HV Patel|Maharashtra Cricket Association Stadium|11.98
HV Patel|Punjab Cricket Association IS Bindra Stadium, Mohali|26.33
HV Patel|Punjab Cricket Association Stadium, Mohali|11.04
HV Patel|Rajiv Gandhi International Stadium, Uppal|11.12
HV Patel|Sardar Patel Stadium, Motera|11.98
HV Patel|Sawai Mansingh Stadium|11.98
HV Patel|Sharjah Cricket Stadium|31.32
HV Patel|Sheikh Zayed Stadium|16.1
HV Patel|Subrata Roy Sahara Stadium|10.1
HV Patel|Wankhede Stadium|13.54
Harbhajan Singh|Barabati Stadium|12.06
Harbhajan Singh|Brabourne Stadium|14.16
Harbhajan Singh|Buffalo Park|12.9
Harbhajan Singh|Dr DY Patil Sports Academy|15.65
Harbhajan Singh|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|35.69
Harbhajan Singh|Dubai International Cricket Stadium|12.84
Harbhajan Singh|Eden Gardens|31.64
Harbhajan Singh|Feroz Shah Kotla|26.55
Harbhajan Singh|Green Park|13.46
Harbhajan Singh|Himachal Pradesh Cricket Association Stadium|13.61
Harbhajan Singh|Holkar Cricket Stadium|8.31
Harbhajan Singh|Kingsmead|14.06
Harbhajan Singh|M Chinnaswamy Stadium|13.06
Harbhajan Singh|M.Chinnaswamy Stadium|15.66
Harbhajan Singh|MA Chidambaram Stadium, Chepauk|42.21
Harbhajan Singh|Maharashtra Cricket Association Stadium|36.11
Harbhajan Singh|New Wanderers Stadium|8.31
Harbhajan Singh|Newlands|13.54
Harbhajan Singh|Punjab Cricket Association IS Bindra Stadium, Mohali|29.92
Harbhajan Singh|Punjab Cricket Association Stadium, Mohali|13.63
Harbhajan Singh|Rajiv Gandhi International Stadium, Uppal|25.24
Harbhajan Singh|Sardar Patel Stadium, Motera|12.06
Harbhajan Singh|Saurashtra Cricket Association Stadium|13.24
Harbhajan Singh|Sawai Mansingh Stadium|30.89
Harbhajan Singh|Sharjah Cricket Stadium|12.11
Harbhajan Singh|Sheikh Zayed Stadium|11.36
Harbhajan Singh|St George's Park|13.95
Harbhajan Singh|Subrata Roy Sahara Stadium|15.26
Harbhajan Singh|SuperSport Park|14.94
Harbhajan Singh|Wankhede Stadium|35.2
Harmeet Singh|Dr DY Patil Sports Academy|9.47
Harmeet Singh|Eden Gardens|10.84
Harmeet Singh|Feroz Shah Kotla|10.28
Harmeet Singh|Kingsmead|6.99
Harmeet Singh|M Chinnaswamy Stadium|6.99
Harmeet Singh|MA Chidambaram Stadium, Chepauk|8.87
Harmeet Singh|New Wanderers Stadium|8.87
Harmeet Singh|Newlands|8.87
Harmeet Singh|Punjab Cricket Association Stadium, Mohali|10.63
Harmeet Singh|Sawai Mansingh Stadium|10.48
Harmeet Singh|Subrata Roy Sahara Stadium|12.62
Harmeet Singh|SuperSport Park|6.99
Harmeet Singh|Vidarbha Cricket Association Stadium, Jamtha|11.36
Harpreet Brar|Dubai International Cricket Stadium|0.0
Harpreet Brar|Feroz Shah Kotla|18.72
Harpreet Brar|Punjab Cricket Association IS Bindra Stadium, Mohali|0.0
I Malhotra|Rajiv Gandhi International Stadium, Uppal|3.0
I Sharma|Brabourne Stadium|9.12
I Sharma|Buffalo Park|8.18
I Sharma|Dr DY Patil Sports Academy|7.25
I Sharma|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|20.57
I Sharma|Eden Gardens|22.53
I Sharma|Feroz Shah Kotla|24.02
I Sharma|Holkar Cricket Stadium|6.31
I Sharma|Kingsmead|8.18
I Sharma|M Chinnaswamy Stadium|7.14
I Sharma|M.Chinnaswamy Stadium|12.51
I Sharma|MA Chidambaram Stadium, Chepauk|6.86
I Sharma|Maharashtra Cricket Association Stadium|6.28
I Sharma|Nehru Stadium|15.68
I Sharma|New Wanderers Stadium|8.18
I Sharma|Newlands|8.45
I Sharma|Punjab Cricket Association IS Bindra Stadium, Mohali|6.58
I Sharma|Punjab Cricket Association Stadium, Mohali|6.31
I Sharma|Rajiv Gandhi International Stadium, Uppal|18.48
I Sharma|Sardar Patel Stadium, Motera|10.06
I Sharma|Saurashtra Cricket Association Stadium|8.18
I Sharma|Sawai Mansingh Stadium|22.43
I Sharma|Shaheed Veer Narayan Singh International Stadium|6.31
I Sharma|Sharjah Cricket Stadium|10.06
I Sharma|Sheikh Zayed Stadium|19.03
I Sharma|St George's Park|9.46
I Sharma|Subrata Roy Sahara Stadium|8.18
I Sharma|SuperSport Park|6.31
I Sharma|Wankhede Stadium|32.72
IC Pandey|Barabati Stadium|6.91
IC Pandey|Brabourne Stadium|6.91
IC Pandey|Dubai International Cricket Stadium|8.78
IC Pandey|Eden Gardens|8.78
IC Pandey|Feroz Shah Kotla|6.91
IC Pandey|JSCA International Stadium Complex|7.53
IC Pandey|M Chinnaswamy Stadium|6.72
IC Pandey|MA Chidambaram Stadium, Chepauk|9.16
IC Pandey|Punjab Cricket Association Stadium, Mohali|8.78
IC Pandey|Sardar Patel Stadium, Motera|6.91
IC Pandey|Shaheed Veer Narayan Singh International Stadium|10.66
IC Pandey|Sharjah Cricket Stadium|6.91
IC Pandey|Sheikh Zayed Stadium|10.66
IC Pandey|Wankhede Stadium|8.78
IK Pathan|Barabati Stadium|17.57
IK Pathan|Brabourne Stadium|14.42
IK Pathan|De Beers Diamond Oval|13.82
IK Pathan|Dr DY Patil Sports Academy|12.25
IK Pathan|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.35
IK Pathan|Dubai International Cricket Stadium|15.02
IK Pathan|Eden Gardens|12.79
IK Pathan|Feroz Shah Kotla|13.31
IK Pathan|Himachal Pradesh Cricket Association Stadium|13.88
IK Pathan|JSCA International Stadium Complex|7.52
IK Pathan|Kingsmead|15.89
IK Pathan|M Chinnaswamy Stadium|13.7
IK Pathan|MA Chidambaram Stadium, Chepauk|14.8
IK Pathan|Nehru Stadium|15.92
IK Pathan|New Wanderers Stadium|16.22
IK Pathan|Newlands|14.76
IK Pathan|OUTsurance Oval|18.4
IK Pathan|Punjab Cricket Association IS Bindra Stadium, Mohali|11.35
IK Pathan|Punjab Cricket Association Stadium, Mohali|15.76
IK Pathan|Rajiv Gandhi International Stadium, Uppal|13.05
IK Pathan|Sardar Patel Stadium, Motera|16.52
IK Pathan|Saurashtra Cricket Association Stadium|15.1
IK Pathan|Sawai Mansingh Stadium|13.26
IK Pathan|Shaheed Veer Narayan Singh International Stadium|15.25
IK Pathan|Sharjah Cricket Stadium|11.57
IK Pathan|St George's Park|12.62
IK Pathan|Subrata Roy Sahara Stadium|14.2
IK Pathan|SuperSport Park|12.13
IK Pathan|Wankhede Stadium|13.92
IS Sodhi|Eden Gardens|19.23
IS Sodhi|Feroz Shah Kotla|31.04
IS Sodhi|Punjab Cricket Association IS Bindra Stadium, Mohali|20.98
IS Sodhi|Sawai Mansingh Stadium|20.98
Imran Tahir|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|35.26
Imran Tahir|Dubai International Cricket Stadium|21.37
Imran Tahir|Eden Gardens|49.91
Imran Tahir|Feroz Shah Kotla|37.17
Imran Tahir|Holkar Cricket Stadium|14.16
Imran Tahir|M Chinnaswamy Stadium|12.28
Imran Tahir|M.Chinnaswamy Stadium|27.94
Imran Tahir|MA Chidambaram Stadium, Chepauk|38.42
Imran Tahir|Maharashtra Cricket Association Stadium|35.77
Imran Tahir|Punjab Cricket Association IS Bindra Stadium, Mohali|25.75
Imran Tahir|Punjab Cricket Association Stadium, Mohali|12.55
Imran Tahir|Rajiv Gandhi International Stadium, Uppal|40.22
Imran Tahir|Sardar Patel Stadium, Motera|14.43
Imran Tahir|Saurashtra Cricket Association Stadium|12.28
Imran Tahir|Sawai Mansingh Stadium|21.37
Imran Tahir|Sharjah Cricket Stadium|23.59
Imran Tahir|Sheikh Zayed Stadium|25.75
Imran Tahir|Wankhede Stadium|37.39
Iqbal Abdulla|Dr DY Patil Sports Academy|9.23
Iqbal Abdulla|Eden Gardens|11.67
Iqbal Abdulla|Feroz Shah Kotla|11.1
Iqbal Abdulla|Holkar Cricket Stadium|7.35
Iqbal Abdulla|M Chinnaswamy Stadium|12.35
Iqbal Abdulla|M.Chinnaswamy Stadium|13.17
Iqbal Abdulla|MA Chidambaram Stadium, Chepauk|9.5
Iqbal Abdulla|Maharashtra Cricket Association Stadium|7.35
Iqbal Abdulla|Nehru Stadium|7.35
Iqbal Abdulla|Punjab Cricket Association IS Bindra Stadium, Mohali|7.35
Iqbal Abdulla|Punjab Cricket Association Stadium, Mohali|7.35
Iqbal Abdulla|Rajiv Gandhi International Stadium, Uppal|13.89
Iqbal Abdulla|Sardar Patel Stadium, Motera|9.23
Iqbal Abdulla|Saurashtra Cricket Association Stadium|7.35
Iqbal Abdulla|Sawai Mansingh Stadium|9.12
Iqbal Abdulla|Shaheed Veer Narayan Singh International Stadium|7.35
Iqbal Abdulla|Sheikh Zayed Stadium|7.35
Iqbal Abdulla|Subrata Roy Sahara Stadium|9.85
Iqbal Abdulla|Wankhede Stadium|11.84
J Botha|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|9.53
J Botha|Eden Gardens|15.1
J Botha|Feroz Shah Kotla|14.87
J Botha|Kingsmead|17.43
J Botha|M Chinnaswamy Stadium|11.4
J Botha|MA Chidambaram Stadium, Chepauk|15.41
J Botha|OUTsurance Oval|17.96
J Botha|Punjab Cricket Association Stadium, Mohali|18.11
J Botha|Rajiv Gandhi International Stadium, Uppal|16.96
J Botha|Sawai Mansingh Stadium|16.13
J Botha|Subrata Roy Sahara Stadium|11.4
J Botha|Wankhede Stadium|13.46
J Suchith|Eden Gardens|9.62
J Suchith|MA Chidambaram Stadium, Chepauk|37.35
J Suchith|Punjab Cricket Association Stadium, Mohali|11.5
J Suchith|Rajiv Gandhi International Stadium, Uppal|13.37
J Suchith|Sardar Patel Stadium, Motera|11.68
J Suchith|Wankhede Stadium|13.98
J Syed Mohammad|Eden Gardens|6.7
J Syed Mohammad|Feroz Shah Kotla|7.28
J Syed Mohammad|M Chinnaswamy Stadium|7.75
J Syed Mohammad|MA Chidambaram Stadium, Chepauk|9.59
J Syed Mohammad|Wankhede Stadium|8.86
J Theron|Eden Gardens|7.74
J Theron|Feroz Shah Kotla|7.74
J Theron|Himachal Pradesh Cricket Association Stadium|7.74
J Theron|MA Chidambaram Stadium, Chepauk|11.32
J Theron|Punjab Cricket Association Stadium, Mohali|5.84
J Theron|Rajiv Gandhi International Stadium, Uppal|8.09
J Theron|Sawai Mansingh Stadium|5.86
J Theron|Subrata Roy Sahara Stadium|9.61
J Theron|Wankhede Stadium|7.64
J Yadav|Dubai International Cricket Stadium|11.71
J Yadav|Feroz Shah Kotla|13.01
J Yadav|M Chinnaswamy Stadium|5.79
J Yadav|MA Chidambaram Stadium, Chepauk|13.9
J Yadav|Rajiv Gandhi International Stadium, Uppal|6.73
J Yadav|Shaheed Veer Narayan Singh International Stadium|7.11
JA Morkel|Brabourne Stadium|7.54
JA Morkel|Buffalo Park|16.07
JA Morkel|De Beers Diamond Oval|9.41
JA Morkel|Dr DY Patil Sports Academy|17.26
JA Morkel|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|12.17
JA Morkel|Dubai International Cricket Stadium|14.08
JA Morkel|Eden Gardens|14.4
JA Morkel|Feroz Shah Kotla|14.32
JA Morkel|Himachal Pradesh Cricket Association Stadium|14.94
JA Morkel|Kingsmead|14.77
JA Morkel|M Chinnaswamy Stadium|14.66
JA Morkel|MA Chidambaram Stadium, Chepauk|15.99
JA Morkel|Maharashtra Cricket Association Stadium|16.03
JA Morkel|Nehru Stadium|12.69
JA Morkel|New Wanderers Stadium|14.87
JA Morkel|Punjab Cricket Association Stadium, Mohali|9.41
JA Morkel|Rajiv Gandhi International Stadium, Uppal|18.54
JA Morkel|Sardar Patel Stadium, Motera|17.87
JA Morkel|Sawai Mansingh Stadium|14.26
JA Morkel|Shaheed Veer Narayan Singh International Stadium|14.49
JA Morkel|Sharjah Cricket Stadium|14.34
JA Morkel|St George's Park|16.14
JA Morkel|Subrata Roy Sahara Stadium|13.18
JA Morkel|SuperSport Park|14.57
JA Morkel|Wankhede Stadium|13.88
JA Morkel|Sheikh Zayed Stadium|6.93
JC Archer|Dubai International Cricket Stadium|31.06
JC Archer|Eden Gardens|30.67
JC Archer|Feroz Shah Kotla|22.94
JC Archer|Holkar Cricket Stadium|27.78
JC Archer|MA Chidambaram Stadium, Chepauk|36.36
JC Archer|Punjab Cricket Association IS Bindra Stadium, Mohali|36.71
JC Archer|Rajiv Gandhi International Stadium, Uppal|18.56
JC Archer|Sawai Mansingh Stadium|28.88
JC Archer|Sharjah Cricket Stadium|31.68
JC Archer|Sheikh Zayed Stadium|33.03
JC Archer|Wankhede Stadium|29.5
JD Ryder|Dr DY Patil Sports Academy|15.89
JD Ryder|Feroz Shah Kotla|18.9
JD Ryder|Kingsmead|14.66
JD Ryder|M Chinnaswamy Stadium|15.64
JD Ryder|Newlands|16.2
JD Ryder|Punjab Cricket Association Stadium, Mohali|13.28
JD Ryder|Sawai Mansingh Stadium|13.16
JD Ryder|Subrata Roy Sahara Stadium|15.81
JD Ryder|SuperSport Park|14.1
JD Ryder|Wankhede Stadium|13.35
JD Ryder|MA Chidambaram Stadium, Chepauk|10.37
JD Ryder|Rajiv Gandhi International Stadium, Uppal|12.1
JD Unadkat|Dubai International Cricket Stadium|33.38
JD Unadkat|Eden Gardens|31.0
JD Unadkat|Feroz Shah Kotla|39.09
JD Unadkat|Holkar Cricket Stadium|20.23
JD Unadkat|JSCA International Stadium Complex|9.89
JD Unadkat|M Chinnaswamy Stadium|11.65
JD Unadkat|M.Chinnaswamy Stadium|19.51
JD Unadkat|MA Chidambaram Stadium, Chepauk|21.7
JD Unadkat|Maharashtra Cricket Association Stadium|31.58
JD Unadkat|Nehru Stadium|12.77
JD Unadkat|Punjab Cricket Association IS Bindra Stadium, Mohali|21.7
JD Unadkat|Punjab Cricket Association Stadium, Mohali|11.69
JD Unadkat|Rajiv Gandhi International Stadium, Uppal|36.45
JD Unadkat|Sawai Mansingh Stadium|29.87
JD Unadkat|Sharjah Cricket Stadium|29.17
JD Unadkat|Sheikh Zayed Stadium|30.04
JD Unadkat|Wankhede Stadium|30.17
JDP Oram|De Beers Diamond Oval|9.36
JDP Oram|Holkar Cricket Stadium|11.16
JDP Oram|Kingsmead|12.79
JDP Oram|M Chinnaswamy Stadium|9.49
JDP Oram|MA Chidambaram Stadium, Chepauk|13.41
JDP Oram|New Wanderers Stadium|9.74
JDP Oram|Newlands|13.64
JDP Oram|Punjab Cricket Association Stadium, Mohali|10.26
JDP Oram|Rajiv Gandhi International Stadium, Uppal|7.62
JDP Oram|SuperSport Park|13.19
JDS Neesham|Dubai International Cricket Stadium|16.73
JDS Neesham|Punjab Cricket Association Stadium, Mohali|4.56
JDS Neesham|Sharjah Cricket Stadium|6.81
JDS Neesham|Sheikh Zayed Stadium|16.5
JE Taylor|Dr DY Patil Sports Academy|9.04
JE Taylor|M Chinnaswamy Stadium|8.62
JE Taylor|MA Chidambaram Stadium, Chepauk|12.86
JE Taylor|Sawai Mansingh Stadium|6.75
JEC Franklin|Eden Gardens|18.7
JEC Franklin|Feroz Shah Kotla|6.18
JEC Franklin|M Chinnaswamy Stadium|13.49
JEC Franklin|MA Chidambaram Stadium, Chepauk|14.99
JEC Franklin|Punjab Cricket Association Stadium, Mohali|15.1
JEC Franklin|Sawai Mansingh Stadium|6.18
JEC Franklin|Subrata Roy Sahara Stadium|13.45
